"NOME_CANDIDATO","NOME_URNA_CANDIDATO","COD_GRAU_INSTRUCAO","CODIGO_ESTADO_CIVIL"
"DARLAN DE OLIVEIRA REIS JUNIOR","PROFESSOR DARLAN",8,1
"DELADIER FEITOSA MARIZ","CORONEL DELADIER",8,1
"DURVAL THOMAZ DE SOUZA","DURVAL THOMAZ",4,1
"EDMAR BESERRA GRANJA","DEL. EDMAR GRANJA",8,1
"EDUARDO MARTINS BARBOSA","EDUARDO BARBOSA",8,1
"ELPIDIO LUIZ PEREIRA NETO","ELPIDIO LUIZ",8,1
"EMMANUEL MACHADO BARROS","EMMANUEL MACHADO BARROS",7,1
"EUGENIO RABELO","EUGÊNIO RABELO",6,1
"EUNICIO LOPES DE OLIVEIRA","EUNÍCIO",8,1
"FLAVIO BEZERRA DA SILVA","FLÁVIO BEZERRA",8,1
